word,number
https api facebook com,2
http api facebook com 443,2
http api facebook com,2
read more,2
https api facebook com 443,2
api facebook com,2
facebook developers developers,1
api,1
facebook developers,1
6 facebook developers,1
www api facebook com,1
\u0440\u0430\u0437\u0440\u0430\u0431\u043e\u0442\u043a\u0438 \u043f\u0440\u0438\u043b\u043e\u0436\u0435\u043d\u0438\u0439 facebook,1
facebook facebook developers,1
visit site,1
visit,1
5 facebook developers,1
visit api facebook com,1
api facebook com 443,1
api facebook com restserver php method=links getstats,1
developers,1
serviceendpoint,1
here,1
facebook,1
dear can you fix sites they are not reachable from finland,1
graph facebook comapi facebook com,1
developers facebook developers,1
facebook app development,1
facebook api,1
api facebook com 80,1
developers developers,1
