word,number
http msftncsi com,2
http www msftncsi com,2
www msftncsi com,2
\u0446\u0435\u043d\u0442\u0440 \u0441\u0442\u0440\u043e\u0438\u0442\u0435\u043b\u044c\u043d\u044b\u0445 \u044d\u043a\u0441\u043f\u0435\u0440\u0442\u0438\u0437,1
\u0433\u043b\u0430\u0432\u043d\u0430\u044f,1
visit website,1
\u043b\u0435\u0447\u0435\u043d\u0438\u0435 \u0437\u0430 \u0440\u0443\u0431\u0435\u0436\u043e\u043c,1
\u0442\u0438\u043f\u043e\u0433\u0440\u0430\u0444\u0438\u044f,1
link com,1
launch site,1
www site,1
msftncsi com,1
132358 msftncsi com,1
https www msftncsi com,1
msftncsi com \u0628\u0627\u0632\u062f\u06cc\u062f 1,1
visit the site,1
active,1
visit the web site,1
\u043e \u043a\u043e\u043c\u043f\u0430\u043d\u0438\u0438,1
