word,number
http telemetry mozilla org,2
telemetry dashboard,2
https telemetry mozilla org,2
telemetry dashboardsummary kind submissions count number of dates selected dates mean std,1
firefox telemetry,1
telemetry dashboards,1
telemetry mozilla org,1
moved here,1
dashboards,1
firefox telemetry chart,1
this one,1
http telemetry mozilla org release 26 fx page load ms,1
be checked,1
http telemetry mozilla org release 28 decoder insta,1
telemetry tracking page,1
generated pinning warnings 86 of the time,1
http telemetry mozilla org release 26 charset override used,1
existing dashboard,1
source,1
telemetry,1
http telemetry mozilla org release 27 simple measures startupinterrupted,1
public dashboard,1
telemetry dash,1
release data,1
powering dashboards,1
sessionrestored,1
http telemetry mozilla org release 26 localdomstorage getvalue blocking ms,1
better user interface,1
http telemetry mozilla org nightly 31 localdomstorage getvalue blocking ms,1
devtools toolbox time active seconds,1
http telemetry mozilla org release,1
has considerably increased,1
here,1
http telemetry mozilla org filter=release 2f33 2fssl kea dhe key size full,1
http telemetry mozilla org filter=nightly 2f33 2fjs minor,1
aurora data,1
static telemetry dashboard,1
mozilla telemetry,1
telemetry probes,1
http telemetry mozilla org filter=beta 2f36 2fwe,1
mozilla s telemetry,1
http telemetry mozilla org nightly 29 network cache v1 hit time ms saved session fennec,1
telemetry data from firefox users,1
http telemetry mozilla org release 28 decoder instantiated hz saved session firefox,1
dashboard,1
http telemetry mozilla org release 24 simple measures firstpaint,1
mozilla telemetry dashboards,1
http telemetry mozilla org aurora 28 ssl bytes before cert callback,1
http telemetry mozilla org release 26 charset override situation,1
http telemetry mozilla org release 26 dns lookup time,1
